Architecture,Mission,Protection,FineTuningLevel,Epochs,LearningRate,DropoutRate,Accuracy,AccuracyUnderRadiation,AccuracyPreservation,MemoryOverhead,ExecutionTime
Tanh (32-8),Mars,Moderate,3,1000,0.0127093,0,31.401,31.401,100,50,170.585
Tanh (32-8),Mars,Moderate,3,100,0.0127093,0.2,31.401,31.401,100,50,13.4303
Tanh (32-8),Mars,Moderate,3,500,0.00833859,0.2,31.401,31.401,100,50,70.4062
Tanh (32-8),Mars,Moderate,3,1000,0.00323054,0.2,31.401,31.401,100,50,137.324
Tanh (32-8),Mars,Moderate,3,100,0.00323054,0.5,31.401,31.401,100,50,8.73471
Tanh (32-8),Mars,Moderate,3,500,0.00211956,0.5,31.401,31.401,100,50,44.4417
Tanh (32-8),Mars,Moderate,3,1000,0.00082116,0.5,31.401,31.401,100,50,90.6228
Tanh (32-8),Solar Probe,Adaptive,3,1000,0.0127093,0,31.401,31.401,100,75,170.767
Tanh (32-8),Mars,High,3,500,0.0006561,0,31.401,31.401,100,100,92.0864
Tanh (32-8),Mars,High,3,1000,0.000254187,0,31.401,31.401,100,100,178.412
Tanh (32-8),Mars,High,3,100,0.000254187,0.2,31.401,31.401,100,100,14.478
Tanh (32-8),Mars,High,3,500,0.000166772,0.2,31.401,31.401,100,100,81.396
Tanh (32-8),Mars,High,3,1000,6.46108e-05,0.2,31.401,31.401,100,100,171.172
Tanh (32-8),Mars,High,3,100,6.46108e-05,0.5,31.401,31.401,100,100,9.56739
Tanh (32-8),Mars,High,3,500,4.23912e-05,0.5,31.401,31.401,100,100,46.8911
Tanh (32-8),Mars,High,3,1000,1.64232e-05,0.5,31.401,31.401,100,100,92.8218
Tanh (32-8),Mars,High,3,100,0.01,0,31.401,31.401,100,100,17.662
Tanh (32-8),Mars,High,3,500,0.006561,0,31.401,31.401,100,100,90.5
Tanh (32-8),Mars,High,3,1000,0.00254187,0,31.401,31.401,100,100,177.284
Tanh (32-8),Mars,High,3,100,0.00254187,0.2,31.401,31.401,100,100,14.1573
Tanh (32-8),Mars,High,3,500,0.00166772,0.2,31.401,31.401,100,100,71.3662
Tanh (32-8),Mars,High,3,1000,0.000646108,0.2,31.401,31.401,100,100,144.672
Tanh (32-8),Mars,High,3,100,0.000646108,0.5,31.401,31.401,100,100,9.12592
Tanh (32-8),Mars,High,3,500,0.000423912,0.5,31.401,31.401,100,100,57.039
Tanh (32-8),Mars,High,3,1000,0.000164232,0.5,31.401,31.401,100,100,93.5569
Tanh (32-8),Mars,High,3,100,0.05,0,31.401,31.401,100,100,17.3359
Tanh (32-8),Mars,High,3,500,0.032805,0,31.401,31.401,100,100,87.4657
Tanh (32-8),Mars,High,3,1000,0.0127093,0,31.401,31.401,100,100,171.83
Tanh (32-8),Mars,High,3,100,0.0127093,0.2,31.401,31.401,100,100,13.6019
Tanh (32-8),Mars,High,3,500,0.00833859,0.2,31.401,31.401,100,100,71.2124
Tanh (32-8),Mars,High,3,1000,0.00323054,0.2,31.401,31.401,100,100,138.768
Tanh (32-8),GEO,None,3,100,0.000254187,0.2,31.401,31.401,100,0,17.6324
Tanh (32-8),Mars,High,3,500,0.00211956,0.5,31.401,31.401,100,100,44.3563
Tanh (32-8),Mars,High,3,1000,0.00082116,0.5,31.401,31.401,100,100,88.9058
Tanh (32-8),Mars,Very High,3,100,0.001,0,31.401,31.401,100,200,17.1396
Tanh (32-8),Mars,Very High,3,500,0.0006561,0,31.401,31.401,100,200,140.182
Tanh (32-8),Mars,Very High,3,1000,0.000254187,0,31.401,31.401,100,200,246.074
Tanh (32-8),Mars,Very High,3,100,0.000254187,0.2,31.401,31.401,100,200,13.4754
Tanh (32-8),Mars,Very High,3,500,0.000166772,0.2,31.401,31.401,100,200,72.4091
Tanh (32-8),Mars,Very High,3,1000,6.46108e-05,0.2,31.401,31.401,100,200,146.158
Tanh (32-8),Mars,Very High,3,100,6.46108e-05,0.5,31.401,31.401,100,200,9.05092
Tanh (32-8),Mars,Very High,3,500,4.23912e-05,0.5,31.401,31.401,100,200,44.6548
Tanh (32-8),Mars,Very High,3,1000,1.64232e-05,0.5,31.401,31.401,100,200,87.779
